id,start_time,end_time,score,coins_collected,ufos_shot,bullets_fired,death_reason,game_duration,pipes_passed
plane_1763309436531,2025-11-16 16:10:36.531000+00:00,2025-11-16 16:10:37.337000+00:00,0,0,0,0,ground,0,0
plane_1763309438450,2025-11-16 16:10:38.450000+00:00,2025-11-16 16:10:39.253000+00:00,0,0,0,0,ground,0,0
plane_1763309439395,2025-11-16 16:10:39.395000+00:00,2025-11-16 16:10:40.203000+00:00,0,0,0,0,ground,0,0
plane_1763309440315,2025-11-16 16:10:40.315000+00:00,2025-11-16 16:10:41.119000+00:00,0,0,0,0,ground,0,0
plane_1763309441168,2025-11-16 16:10:41.168000+00:00,2025-11-16 16:10:41.970000+00:00,0,0,0,0,ground,0,0
plane_1763309443887,2025-11-16 16:10:43.887000+00:00,2025-11-16 16:10:44.703000+00:00,0,0,0,0,ground,0,0
plane_1763309444899,2025-11-16 16:10:44.899000+00:00,2025-11-16 16:10:45.703000+00:00,0,0,0,0,ground,0,0
plane_1763309449620,2025-11-16 16:10:49.620000+00:00,2025-11-16 16:10:50.436000+00:00,0,0,0,0,ground,0,0
plane_1763309451717,2025-11-16 16:10:51.717000+00:00,2025-11-16 16:10:52.519000+00:00,0,0,0,0,ground,0,0
plane_1763309452835,2025-11-16 16:10:52.835000+00:00,2025-11-16 16:10:53.652000+00:00,0,0,0,0,ground,0,0
plane_1763309454081,2025-11-16 16:10:54.081000+00:00,2025-11-16 16:10:54.886000+00:00,0,0,0,0,ground,0,0
plane_1763310461826,2025-11-16 16:27:41.826000+00:00,2025-11-16 16:27:42.538000+00:00,0,0,0,0,ground,0,0
plane_1763310575131,2025-11-16 16:29:35.131000+00:00,2025-11-16 16:29:42.670000+00:00,12,3,3,18,pipe,7,4
plane_1763310719683,2025-11-16 16:31:59.683000+00:00,2025-11-16 16:32:00.384000+00:00,0,0,0,0,ground,0,0
plane_1763310724912,2025-11-16 16:32:04.912000+00:00,2025-11-16 16:32:12.867000+00:00,6,3,1,17,pipe,7,4
plane_1763310736582,2025-11-16 16:32:16.582000+00:00,2025-11-16 16:32:24.334000+00:00,9,3,2,12,pipe,7,4
plane_1763310753247,2025-11-16 16:32:33.247000+00:00,2025-11-16 16:32:39.467000+00:00,9,3,2,16,pipe,6,3
plane_1763310787296,2025-11-16 16:33:07.296000+00:00,2025-11-16 16:33:13.717000+00:00,12,3,3,19,pipe,6,3
plane_1763310806559,2025-11-16 16:33:26.559000+00:00,2025-11-16 16:33:42.783000+00:00,29,8,7,32,pipe,16,9
plane_1763310832033,2025-11-16 16:33:52.033000+00:00,2025-11-16 16:33:52.735000+00:00,0,0,0,0,ground,0,0
plane_1763310837095,2025-11-16 16:33:57.095000+00:00,2025-11-16 16:33:57.816000+00:00,0,0,0,0,ground,0,0
plane_1763310840379,2025-11-16 16:34:00.379000+00:00,2025-11-16 16:34:12.903000+00:00,20,5,5,29,pipe,12,7
plane_1763310876125,2025-11-16 16:34:36.125000+00:00,2025-11-16 16:34:46.283000+00:00,11,5,2,36,enemy_bullet,10,6
plane_1763310887963,2025-11-16 16:34:47.963000+00:00,2025-11-16 16:35:13.917000+00:00,32,14,6,69,pipe,25,15
plane_1763310915923,2025-11-16 16:35:15.923000+00:00,2025-11-16 16:35:34.782000+00:00,22,10,4,40,enemy_bullet,18,11
plane_1763310980668,2025-11-16 16:36:20.668000+00:00,2025-11-16 16:36:33.665000+00:00,25,7,6,28,pipe,12,7
plane_1763311034819,2025-11-16 16:37:14.819000+00:00,2025-11-16 16:37:32.814000+00:00,31,10,7,33,pipe,17,10
plane_1763311055139,2025-11-16 16:37:35.139000+00:00,2025-11-16 16:37:49.413000+00:00,25,7,6,62,pipe,14,8
plane_1763311072484,2025-11-16 16:37:52.484000+00:00,2025-11-16 16:38:10.314000+00:00,30,9,7,40,pipe,17,10
plane_1763311106007,2025-11-16 16:38:26.007000+00:00,2025-11-16 16:38:32.381000+00:00,9,3,2,25,pipe,6,3
plane_1763311120434,2025-11-16 16:38:40.434000+00:00,2025-11-16 16:38:56.747000+00:00,27,9,6,38,pipe,16,9
plane_1763311140039,2025-11-16 16:39:00.039000+00:00,2025-11-16 16:39:02.696000+00:00,6,0,2,16,pipe,2,1
plane_1763312123292,2025-11-16 16:55:23.292000+00:00,2025-11-16 16:55:29.153000+00:00,2,2,0,10,pipe,5,3
plane_1763312135822,2025-11-16 16:55:35.822000+00:00,2025-11-16 16:55:41.953000+00:00,11,2,3,11,pipe,6,3
plane_1763312146664,2025-11-16 16:55:46.664000+00:00,2025-11-16 16:56:03.619000+00:00,18,9,3,39,enemy_bullet,16,10
plane_1763312180250,2025-11-16 16:56:20.250000+00:00,2025-11-16 16:56:41.284000+00:00,22,10,4,45,ufo_collision,21,12
plane_1763312203790,2025-11-16 16:56:43.790000+00:00,2025-11-16 16:57:11.017000+00:00,47,14,11,68,ceiling,27,16
plane_1763312252465,2025-11-16 16:57:32.465000+00:00,2025-11-16 16:57:53.916000+00:00,39,12,9,45,ufo_collision,21,12
plane_1763312836131,2025-11-16 17:07:16.131000+00:00,2025-11-16 17:07:20.594000+00:00,7,1,2,12,pipe,4,2
plane_1763312848977,2025-11-16 17:07:28.977000+00:00,2025-11-16 17:07:31.493000+00:00,3,0,1,7,pipe,2,1
plane_1763312860065,2025-11-16 17:07:40.065000+00:00,2025-11-16 17:07:42.594000+00:00,3,0,1,11,pipe,2,1
plane_1763312864533,2025-11-16 17:07:44.533000+00:00,2025-11-16 17:07:47.161000+00:00,6,0,2,13,pipe,2,1
plane_1763312869417,2025-11-16 17:07:49.417000+00:00,2025-11-16 17:07:52.226000+00:00,6,0,2,15,pipe,2,1
plane_1763312885978,2025-11-16 17:08:05.978000+00:00,2025-11-16 17:08:09.026000+00:00,7,1,2,12,pipe,3,1
plane_1763312891014,2025-11-16 17:08:11.014000+00:00,2025-11-16 17:08:13.661000+00:00,6,0,2,14,pipe,2,1
plane_1763312895389,2025-11-16 17:08:15.389000+00:00,2025-11-16 17:08:18.210000+00:00,3,0,1,14,pipe,2,1
plane_1763313057761,2025-11-16 17:10:57.761000+00:00,2025-11-16 17:10:58.474000+00:00,0,0,0,0,ground,0,0
plane_1763313059980,2025-11-16 17:10:59.980000+00:00,2025-11-16 17:11:05.875000+00:00,11,2,3,28,pipe,5,3
plane_1763313071762,2025-11-16 17:11:11.762000+00:00,2025-11-16 17:11:14.309000+00:00,6,0,2,13,pipe,2,1
plane_1763313076167,2025-11-16 17:11:16.167000+00:00,2025-11-16 17:11:20.641000+00:00,7,1,2,14,pipe,4,2
